user_id,session_time
074f080e-698e-42a7-92b4-ba7e4fff9d59,2022-04-26 19:21:00
4d15c37e-e6f2-4d1a-88b2-598b9cd555ac,2022-09-28 02:43:00
ad81285c-ea40-4363-befc-f00d83f2f3ff,2022-03-26 11:26:00
467b31bf-f38d-4e2f-b0d8-0e41bd4fdab3,2022-03-23 17:42:00
ca282855-db0f-42cd-bb3b-377766a29d88,2022-11-17 14:24:00
117f7a2a-3223-4dfc-b1d7-8a2283cec6ec,2022-09-24 20:09:00
c4675c8f-2565-49f4-bc97-425fd188c516,2022-07-24 09:15:00
a004aae4-b3b7-4d66-92c2-a73c93127673,2022-05-27 01:55:00
b0103888-29e2-4983-87d3-8536a7ad4065,2022-02-11 01:43:00
1f0139a9-9148-43fb-8f99-a0d567aff07e,2022-09-22 05:56:00
4fc30938-31b7-46df-bf59-6a4b06d2a29d,2022-07-14 08:10:00
9f5b442d-e6ee-49ee-8b64-32b903ccf67c,2022-02-14 02:13:00
9c8295cb-10f5-4b76-80e7-e74de316e191,2022-04-24 02:30:00
3e09fc19-c78f-4405-9d5a-87c8b27b4469,2022-03-08 20:05:00
93eca1a1-2b1c-4e24-8eef-d18290ca9944,2022-10-11 00:14:00
b20aea20-74e2-4c17-9824-98b40ff098e1,2022-09-03 14:54:00
2ce3b8ad-7f02-441f-9505-5f6b40588e54,2022-08-13 22:20:00
0fa21053-77ee-482d-ad0a-736c9daeda33,2022-05-22 16:38:00
f15eff8b-3681-42fe-9bf0-8ac1b10e8cd0,2022-11-01 06:11:00
6520f725-27ae-4b03-a0bb-98543ba1063a,2022-05-22 12:56:00
2fce26ab-a012-453a-af87-ebb49c413684,2022-09-19 05:35:00
ed2fd4d1-cbdd-4d48-b00b-55fe110f4e0f,2022-11-15 16:35:00
aefb5dde-2bb0-4ce9-8fb5-0347def94494,2022-07-21 02:45:00
35e07034-4998-499b-b08b-e80f5735f319,2022-04-11 16:17:00
c8d3e941-99f6-4aed-b366-93ebb9e91a67,2022-12-24 18:07:00
595d0a8c-b56f-4fdc-946e-effd3cb71486,2022-03-25 08:35:00
5cf566fe-47c1-40c5-a8dc-f3798f70c925,2022-04-03 22:35:00
6b72831d-3eee-4c9e-b32f-aa2088a5e7a5,2022-05-03 23:27:00
ae70e086-0cfc-4970-9fb5-35928930e67c,2022-10-02 17:39:00
6520f725-27ae-4b03-a0bb-98543ba1063a,2022-09-19 00:06:00
81e7d900-f11e-49a9-93da-3bf91dc81b99,2022-09-09 16:31:00
5e3887e4-cb27-4f24-8719-fb6ccd581884,2022-09-19 04:49:00
d5d50bfe-6ac2-44af-b3ae-645b2f519cc0,2022-02-09 16:58:00
9b42f556-0727-4212-ac19-2a57a73093cb,2022-11-04 10:36:00
62a9a369-b21c-4add-b7eb-908a2e424cc7,2022-07-05 03:48:00
93bc50a9-af62-4384-869d-5753f74f8ef8,2022-11-14 17:09:00
f00d89a1-ecff-4431-9c5e-1f8cf743f421,2022-09-14 06:06:00
4b13e7d9-6d99-4e25-adc4-a2b229d3c43b,2022-10-14 15:46:00
c9031467-31b8-4a4d-917a-5d08cd401e04,2022-02-09 14:13:00
e645a642-b818-4e5d-9308-30f476856221,2022-09-26 14:33:00
4c9ec250-31c6-4e90-9503-4fcba6f928ac,2022-03-26 01:44:00
c5ed4535-1a25-462c-9584-fa9f45c307a0,2022-05-05 03:36:00
aebc5371-bf49-49cd-9c16-8b7e269f2a15,2022-07-27 19:25:00
9fee5ff8-d35d-4ce0-acaa-8a06b3fc6b2b,2022-08-16 02:24:00
5e3887e4-cb27-4f24-8719-fb6ccd581884,2022-05-18 08:29:00
32e56f54-ea89-4531-b5dd-e6d53f8e9ce5,2022-11-21 12:54:00
b238cf65-7339-48aa-8b8a-2c33625e0adb,2022-11-03 09:12:00
f1708f24-d0ed-4a33-aeb8-b58b9ba24ecd,2022-08-26 20:10:00
c5eff1a7-86a7-47b7-9317-d170fe4a9af6,2022-05-08 21:42:00
6078ba0f-2cee-469a-baa9-ae16a6006391,2022-04-03 15:46:00
695b8327-f93f-4ce8-a020-91bf9f674452,2022-11-09 06:19:00
cfeaaa17-2a22-45ee-a253-92f5ebf73fad,2022-12-03 14:20:00
41848352-36e8-48bb-9249-00965cc86067,2022-08-20 19:48:00
248af1c0-b28b-48c1-b8e9-5ab8e734fb2e,2022-07-12 23:39:00
8244086a-8dfa-4770-a37c-72ee441d8e0f,2022-02-27 02:30:00
